"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,605,738","+40,855","1,537,893",+177,"199,228,904","+29,008","13,838,941","15,548",,,,,,Asia
North America,"124,876,753","+19,193","1,614,227",+142,"120,228,664","+78,146","3,033,862","7,646",,,,,,North America
Europe,"246,706,799","+40,603","2,020,456",+222,"242,292,666","+64,965","2,393,677","6,478",,,,,,Europe
South America,"68,068,253","+14,906","1,351,038",+57,"66,312,948","+3,988","404,267","10,188",,,,,,South America
Oceania,"14,027,398",+149,"26,221",,"13,861,322",,"139,855",55,,,,,,Australia/Oceania
Africa,"12,799,176",+999,"258,610",+7,"12,077,232",+433,"463,334",548,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"681,084,838","+116,705","6,808,460",+605,"654,002,442","+176,540","20,273,936","40,463","87,377",873.5,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,524,399","+13,123","1,148,090",+116,"103,052,729","+78,057","1,323,580","2,482","315,181","3,429","1,168,329,542","3,489,579","334,805,269",North America
India,"44,688,693",,"530,775",,"44,154,842",,"3,076",N/A,"31,770",377,"919,314,929","653,558","1,406,631,776",Asia
France,"39,639,112",,"165,073",,"39,409,374","+3,972","64,665",869,"604,397","2,517","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,241,231","+9,621","168,808",+99,"37,806,500","+18,300","265,923",N/A,"455,884","2,012","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,085,520","+9,467","699,310",+34,"36,249,161",,"137,049",N/A,"172,208","3,247","63,776,166","296,146","215,353,593",South America
Japan,"33,288,462","+11,805","72,909",+69,"21,696,252",+538,"11,519,301",128,"265,068",581,"95,858,172","763,294","125,584,838",Asia
S. Korea,"30,594,297","+12,798","34,061",+12,"30,385,248","+10,626","174,988",139,"596,033",664,"15,804,065","307,892","51,329,899",Asia
Italy,"25,603,510",,"188,322",,"25,267,118",,"148,070",137,"424,864","3,125","268,196,399","4,450,449","60,262,770",Europe
UK,"24,370,154",,"206,952",,"24,113,546","+3,624","49,656",N/A,"355,780","3,021","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,376,060","+12,320","396,423",+45,"21,717,232","+16,437","262,405",N/A,"153,465","2,719","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,770,429",,"119,479",,"13,615,878",,"35,072",231,"294,749","2,557","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,994",+8,"43,186",,"10,614,807",+5,"869,001",3,"116,489",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,385,534",,"19,459",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Taiwan,"10,134,204","+11,053","18,322",+40,"9,860,561","+16,708","255,321",,"424,228",767,"30,742,304","1,286,903","23,888,595",Asia
Argentina,"10,044,957",+832,"130,472",+9,"9,911,673",,"2,812",363,"218,320","2,836","35,716,069","776,264","46,010,234",South America
Netherlands,"8,600,120",,"22,992",,"8,561,110",,"16,018",53,"499,674","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,571,996",+644,"144,922",+15,"7,339,963",+94,"87,111",382,"88,023","1,685","55,353,767","643,478","86,022,837",Asia
Mexico,"7,475,219",,"333,136",,"6,713,635",,"428,448",N/A,"56,819","2,532","19,572,325","148,768","131,562,772",North America
Indonesia,"6,737,918",+312,"160,937",+3,"6,573,886",+137,"3,095",N/A,"24,139",577,"114,158,919","408,975","279,134,505",Asia
Poland,"6,441,498","+3,904","118,989",+19,"5,335,940",,"986,569",696,"170,682","3,153","38,335,838","1,015,794","37,739,785",Europe
Colombia,"6,360,780",+691,"142,639",+10,"6,184,346",+688,"33,795",342,"123,480","2,769","36,951,507","717,327","51,512,762",South America
Austria,"5,956,095","+6,343","21,969",+8,"5,880,357","+5,993","53,769",72,"656,919","2,423","211,273,524","23,302,116","9,066,710",Europe
Greece,"5,871,458",,"36,185",,"5,822,181","+2,619","13,092",115,"569,125","3,507","102,228,365","9,909,078","10,316,637",Europe
Portugal,"5,570,473",,"26,266",,"5,538,745",,"5,462",61,"549,325","2,590","45,994,869","4,535,728","10,140,570",Europe
Ukraine,"5,399,231",,"111,298",,"5,270,860","+5,283","17,073",,"125,005","2,577","32,603,805","754,855","43,192,122",Europe
Chile,"5,188,380","+3,798","64,254",+4,"5,116,507","+2,602","7,619",88,"269,524","3,338","48,553,965","2,522,258","19,250,195",South America
Malaysia,"5,044,439",+235,"36,967",+1,"4,998,219",+216,"9,253",7,"152,028","1,114","68,274,644","2,057,638","33,181,072",Asia
Israel,"4,803,173","+1,662","12,325",+18,"4,781,252",,"9,596",57,"515,030","1,322","41,373,364","4,436,346","9,326,000",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Thailand,"4,728,182",,"33,918",,"4,692,636",,"1,628",N/A,"67,470",484,"17,270,775","246,450","70,078,203",Asia
Belgium,"4,727,795",,"33,775",,"4,664,005",+792,"30,015",43,"405,184","2,895","36,752,058","3,149,741","11,668,278",Europe
Czechia,"4,617,110","+1,148","42,490",+3,"4,565,118",+189,"9,502",37,"430,027","3,957","57,031,770","5,311,811","10,736,784",Europe
Canada,"4,600,615",,"51,447",,"4,510,957",,"38,211",99,"119,844","1,340","66,343,123","1,728,207","38,388,419",North America
Peru,"4,486,934",,"219,513",,"4,265,390",+73,"2,031",31,"133,206","6,517","38,095,743","1,130,967","33,684,208",South America
Switzerland,"4,392,464",,"14,452",,"4,373,995",+969,"4,017",39,"500,643","1,647","23,833,472","2,716,487","8,773,637",Europe
Philippines,"4,077,290",+121,"66,176",+9,"4,002,183",+68,"8,931",162,"36,240",588,"34,658,901","308,054","112,508,994",Asia
South Africa,"4,066,641",+597,"102,595",,"3,912,506",,"51,540",192,"66,934","1,689","26,795,090","441,027","60,756,135",Africa
Romania,"3,346,046",,"67,736",,"3,267,395","+4,126","10,915",119,"175,818","3,559","26,750,616","1,405,609","19,031,335",Europe
Denmark,"3,175,738",+83,"8,292",+7,"3,166,536",+62,910,19,"544,261","1,421","129,206,485","22,143,546","5,834,950",Europe
Hong Kong,"2,883,801",+39,"13,466",,"2,863,359",+361,"6,976",28,"379,233","1,771","76,127,725","10,011,143","7,604,299",Asia
Sweden,"2,699,339",+153,"23,749",,"2,671,958",+65,"3,632",8,"264,150","2,324","19,477,620","1,906,026","10,218,971",Europe
Serbia,"2,499,269",+954,"17,875",+7,"2,466,401",+715,"14,993",12,"288,832","2,066","12,459,576","1,439,911","8,653,016",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
Singapore,"2,230,570",,"1,722",,"2,149,583",,"79,265",1,"375,293",290,"24,756,666","4,165,302","5,943,546",Asia
New Zealand,"2,228,291",,"3,922",,"2,214,316",,"10,053",,"454,920",801,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Hungary,"2,196,804",+878,"48,762",+11,"2,143,788",+604,"4,254",14,"228,685","5,076","11,394,556","1,186,160","9,606,259",Europe
Bangladesh,"2,037,871",+42,"29,445",,"1,998,448",,"9,978",N/A,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Slovakia,"1,863,749",+159,"21,033",+2,"1,841,364",+138,"1,352",25,"341,334","3,852","7,407,583","1,356,652","5,460,193",Europe
Georgia,"1,827,537",,"16,971",,"1,776,548",,"34,018",,"460,483","4,276","16,920,079","4,263,340","3,968,738",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
Ireland,"1,703,850",,"8,691",,"1,692,873",,"2,286",9,"339,399","1,731","13,037,474","2,597,003","5,020,199",Europe
Pakistan,"1,577,289",+45,"30,644",+1,"1,538,689",,"7,956",10,"6,873",134,"30,570,862","133,213","229,488,994",Asia
Norway,"1,479,453",+61,"5,213",,"1,473,459",+38,781,20,"268,437",946,"11,002,430","1,996,315","5,511,370",Europe
Finland,"1,463,644",+14,"8,967",,"1,452,397",+66,"2,280",21,"263,484","1,614","12,047,792","2,168,835","5,554,960",Europe
Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043",Asia
Slovenia,"1,331,201",+539,"7,077",+1,"1,319,340",+340,"4,784",4,"640,606","3,406","2,840,362","1,366,851","2,078,034",Europe
Lithuania,"1,307,448",+404,"9,596",,"1,291,795",+372,"6,057",6,"491,206","3,605","10,387,153","3,902,439","2,661,708",Europe
Bulgaria,"1,297,451",+93,"38,225",+3,"1,256,205",+122,"3,021",25,"189,558","5,585","11,072,204","1,617,656","6,844,597",Europe
Morocco,"1,272,490",,"16,296",,"1,256,151",,43,3,"33,688",431,"12,992,640","343,969","37,772,756",Africa
Croatia,"1,269,326",,"17,987",,"1,250,890",,449,5,"312,697","4,431","5,521,987","1,360,335","4,059,286",Europe
Guatemala,"1,238,049",+260,"20,182",+2,"1,216,847",+263,"1,020",5,"66,619","1,086","6,971,176","375,116","18,584,039",North America
Lebanon,"1,232,649",+132,"10,840",,"1,087,587",,"134,222",74,"184,394","1,622","4,795,578","717,380","6,684,849",Asia
Costa Rica,"1,209,725","+5,561","9,245",+15,"860,711",,"339,769",52,"233,432","1,784","4,659,757","899,158","5,182,354",North America
Bolivia,"1,194,187",+118,"22,365",,"1,160,189",+625,"11,633",220,"99,577","1,865","2,705,422","225,590","11,992,656",South America
Tunisia,"1,151,126",,"29,341",,N/A,N/A,N/A,44,"95,556","2,436","5,003,083","415,309","12,046,656",Africa
Cuba,"1,112,637",+6,"8,530",,"1,104,024",+9,83,,"98,414",754,"14,321,589","1,266,764","11,305,652",North America
Ecuador,"1,057,121",,"36,014",,"1,020,564",,543,759,"58,361","1,988","3,082,403","170,173","18,113,361",South America
UAE,"1,053,068",+142,"2,349",,"1,035,834",+71,"14,885",,"104,453",233,"199,384,754","19,776,731","10,081,785",Asia
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America
Panama,"1,031,731",,"8,609",,"1,022,524",,598,16,"232,008","1,936","7,548,346","1,697,416","4,446,964",North America
Mongolia,"1,007,900",+3,"2,179",,"1,005,717",+1,4,192,"298,365",645,"4,030,048","1,193,000","3,378,078",Asia
Nepal,"1,001,150",+1,"12,020",,"989,126",+2,4,,"33,123",398,"6,014,634","198,992","30,225,582",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
Latvia,"976,228",+40,"6,250",,"969,623",+36,355,13,"528,023","3,381","7,866,206","4,254,678","1,848,837",Europe
Saudi Arabia,"830,044",+89,"9,618",,"817,139",+60,"3,287",42,"23,157",268,"45,171,493","1,260,193","35,844,909",Asia
Azerbaijan,"828,819",+36,"10,138",+3,"818,456",+38,225,,"80,466",984,"7,536,288","731,664","10,300,205",Asia
Paraguay,"808,401",,"19,878",,N/A,N/A,N/A,7,"110,651","2,721","2,657,506","363,751","7,305,843",South America
Bahrain,"710,306",+448,"1,553",,"706,013",,"2,740",2,"398,157",871,"10,749,553","6,025,592","1,783,983",Asia
Sri Lanka,"672,037",+1,"16,830",,"655,202",,5,,"31,148",780,"6,486,117","300,619","21,575,842",Asia
Kuwait,"663,860",+404,"2,570",,"660,237",,"1,053",,"151,555",587,"8,455,743","1,930,391","4,380,326",Asia
Dominican Republic,"660,790",+85,"4,384",,"644,785",,"11,621",4,"59,766",397,"3,740,928","338,350","11,056,370",North America
Cyprus,"650,685",,"1,330",,"644,185",,"5,170",60,"531,872","1,087","9,640,118","7,879,860","1,223,387",Asia
Myanmar,"633,949",,"19,490",,"614,426",+10,33,,"11,479",353,"10,083,958","182,591","55,227,143",Asia
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia
Estonia,"615,423",,"2,946",,"524,990",,"87,487",5,"465,556","2,229","3,679,061","2,783,140","1,321,910",Europe
Moldova,"611,140","+3,690","12,003",+15,"504,142",,"94,995",49,"152,284","2,991","3,216,305","801,437","4,013,171",Europe
Venezuela,"552,157",,"5,854",,"545,924",,379,36,"18,866",200,"3,359,014","114,771","29,266,991",South America
Egypt,"515,759",+61,"24,613",,"442,182",,"48,964",122,"4,858",232,"3,693,367","34,792","106,156,692",Africa
Libya,"507,187",,"6,437",,"500,737",,13,,"72,036",914,"2,483,812","352,777","7,040,745",Africa
Ethiopia,"500,102",+17,"7,572",,"487,347",+4,"5,183",1,"4,139",63,"5,496,670","45,497","120,812,698",Africa
Qatar,"494,982",+114,688,,"493,791",+62,503,38,"166,106",231,"4,065,369","1,364,257","2,979,915",Asia
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa
Honduras,"472,250",,"11,111",,N/A,N/A,N/A,105,"46,203","1,087","1,635,967","160,056","10,221,247",North America
Armenia,"447,308",+489,"8,727",+6,"435,162",,"3,419",,"150,509","2,936","3,242,901","1,091,164","2,971,966",Asia
Bosnia and Herzegovina,"401,729",+93,"16,280",+1,"379,084",,"6,365",,"123,635","5,010","1,884,721","580,036","3,249,317",Europe
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia
North Macedonia,"346,852",,"9,662",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304",Europe
Zambia,"343,135",,"4,057",,"338,854",,224,,"17,624",208,"3,943,335","202,531","19,470,234",Africa
Kenya,"342,937",+5,"5,688",,"337,222",+2,27,1,"6,100",101,"3,967,062","70,569","56,215,221",Africa
Albania,"334,443",+16,"3,598",+1,"329,185",+16,"1,660",,"116,678","1,255","1,941,032","677,173","2,866,374",Europe
Botswana,"329,758",,"2,801",,"326,916",,41,1,"135,082","1,147","2,026,898","830,300","2,441,162",Africa
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe
Montenegro,"288,752",+70,"2,808",,"285,297",+83,647,6,"459,833","4,472","2,722,531","4,335,586","627,950",Europe
Brunei,"279,661",,225,,"243,601",,"35,835",,"627,844",505,"717,784","1,611,437","445,431",Asia
Algeria,"271,494",+4,"6,881",,"182,811",+3,"81,802",,"5,987",152,"230,861","5,091","45,350,148",Africa
Nigeria,"266,598",,"3,155",,"259,917",,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa
Zimbabwe,"264,276",+149,"5,671",+3,"258,184",+345,421,12,"17,238",370,"2,525,756","164,744","15,331,428",Africa
Uzbekistan,"251,247",+176,"1,637",,"241,486",,"8,124",23,"7,307",48,"1,377,915","40,077","34,382,084",Asia
Mozambique,"233,214",,"2,242",,"228,805",,"2,167",11,"7,048",68,"1,371,127","41,437","33,089,461",Africa
Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087",North America
Laos,"218,023",+3,758,,N/A,N/A,N/A,,"29,143",101,"1,233,207","164,845","7,481,023",Asia
Afghanistan,"209,451",+10,"7,896",,"191,272",+10,"10,283",45,"5,139",194,"1,203,807","29,538","40,754,388",Asia
