"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Asia,"214,275,435","+21,169","1,536,461",157.0,"198,909,142","+28,708","13,829,832","15,497",,,,,,Asia
North America,"124,580,169","+16,947","1,611,268",149.0,"119,787,772","+43,175","3,181,129","7,750",,,,,,North America
Europe,"246,227,059","+55,613","2,016,755",297.0,"241,811,330","+45,101","2,398,974","6,459",,,,,,Europe
South America,"67,991,811","+15,796","1,350,520",92.0,"66,251,241","+38,668","390,050","10,186",,,,,,South America
Oceania,"13,996,291","+1,297","26,116",6.0,"13,834,558","+1,186","135,617",64,,,,,,Australia/Oceania
Africa,"12,793,643","+1,451","258,581",4.0,"12,075,067",+483,"459,995",547,,,,,,Africa
,721,,15,,706,,0,0,,,,,,
World,"679,853,463","+111,220","6,799,552",673.0,"652,669,816","+157,321","20,384,095","40,505","87,219",872.3,,,,All
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia
USA,"105,266,332","+5,825","1,145,415",50.0,"102,654,350","+33,706","1,466,567","2,586","314,411","3,421","1,166,805,671","3,485,028","334,805,269",North America
India,"44,686,371",+169,"530,771",1.0,"44,153,343",+140,"2,257",,"31,768",377,"918,535,118","653,003","1,406,631,776",Asia
France,"39,616,580",+841,"164,929",52.0,"39,383,240","+4,999","68,411",869,"604,054","2,515","271,490,188","4,139,547","65,584,518",Europe
Germany,"38,144,033","+32,970","167,951",139.0,"37,679,400","+17,900","296,682",,"454,726","2,002","122,332,384","1,458,359","83,883,596",Europe
Brazil,"37,038,230","+13,813","699,006",59.0,"36,216,411","+30,436","122,813",,"171,988","3,246","63,776,166","296,146","215,353,593",South America
Japan,"33,190,564","+5,598","72,320",52.0,"21,683,904","+1,535","11,434,340",170,"264,288",576,"95,014,492","756,576","125,584,838",Asia
S. Korea,"30,502,904","+4,026","33,961",15.0,"30,278,033",,"190,910",163,"594,252",662,"15,804,065","307,892","51,329,899",Asia
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe
UK,"24,341,615",,"206,246",,"24,084,330","+3,549","51,039",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe
Russia,"22,262,717","+9,580","396,065",30.0,"21,600,487","+9,250","266,165",,"152,687","2,716","273,400,000","1,875,095","145,805,947",Europe
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142",Europe
Vietnam,"11,526,905",+4,"43,186",,"10,614,763",+3,"868,956",4,"116,488",436,"85,826,548","867,342","98,953,541",Asia
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792",Australia/Oceania
Argentina,"10,044,125",,"130,463",,"9,909,871",+913,"3,791",363,"218,302","2,836","35,716,069","776,264","46,010,234",Asia
Taiwan,"10,033,107","+7,744","17,908",44.0,"9,690,990","+23,339","324,209",,"419,996",750,"30,742,304","1,286,903","23,888,595",South America
Netherlands,"8,594,150",+857,"22,992",,"8,558,606",+479,"12,552",53,"499,328","1,336","25,984,435","1,509,718","17,211,447",Europe
Iran,"7,567,824",+122,"144,845",3.0,"7,339,283",+78,"83,696",282,"87,975","1,684","55,034,937","639,771","86,022,837",Asia
Mexico,"7,450,992","+7,841","332,986",48.0,"6,687,704","+7,415","430,302",,"56,635","2,531","19,571,192","148,759","131,562,772",North America
Indonesia,"6,735,780",+152,"160,911",3.0,"6,571,457",+270,"3,412",,"24,131",576,"114,158,919","408,975","279,134,505",Asia
Poland,"6,415,708",+429,"118,868",,"5,335,940",,"960,900",696,"169,999","3,150","38,260,137","1,013,788","37,739,785",Europe
Colombia,"6,359,464",,"142,615",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762",South America
Austria,"5,905,594","+3,454","21,887",6.0,"5,831,152","+4,551","52,555",72,"651,349","2,414","211,273,524","23,302,116","9,066,710",Europe
Greece,"5,849,949",,"36,077",,"5,801,783",,"12,089",115,"567,040","3,497","102,228,365","9,909,078","10,316,637",Europe
Portugal,"5,566,708",,"26,117",,"5,537,148",,"3,443",61,"548,954","2,575","45,968,702","4,533,148","10,140,570",Europe
Ukraine,"5,382,095",,"111,175",,"5,261,929",,"8,991",,"124,608","2,574","32,603,805","754,855","43,192,122",Europe
Chile,"5,164,922","+1,606","64,176",10.0,"5,095,408","+2,210","5,338",79,"268,305","3,334","48,430,725","2,515,856","19,250,195",South America
Malaysia,"5,042,585",+190,"36,957",,"4,996,409",+177,"9,219",6,"151,972","1,114","68,079,467","2,051,756","33,181,072",Asia
Israel,"4,798,654",+965,"12,284",15.0,"4,781,252",,"5,118",57,"514,546","1,317","41,373,364","4,436,346","9,326,000",Asia
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679",Asia
Thailand,"4,728,035",+204,"33,911",9.0,"4,692,636",,"1,488",,"67,468",484,"17,270,775","246,450","70,078,203",Asia
Belgium,"4,717,655",,"33,717",,"4,658,340",+558,"25,598",43,"404,315","2,890","36,709,556","3,146,099","11,668,278",Europe
Czechia,"4,608,142",+106,"42,434",5.0,"4,557,205",+870,"8,503",32,"429,192","3,952","56,990,911","5,308,006","10,736,784",Europe
Canada,"4,591,149","+1,341","51,249",27.0,"4,497,620","+1,576","42,280",99,"119,597","1,335","66,343,123","1,728,207","38,388,419",North America
Peru,"4,485,616",+334,"219,406",11.0,"4,264,334",+110,"1,876",40,"133,167","6,514","37,997,691","1,128,057","33,684,208",South America
Switzerland,"4,389,655",,"14,452",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637",Europe
Philippines,"4,076,230",+88,"66,108",11.0,"4,000,837",+24,"9,285",162,"36,230",588,"34,584,000","307,389","112,508,994",Asia
South Africa,"4,063,237",+914,"102,595",,"3,912,506",,"48,136",192,"66,878","1,689","26,795,090","441,027","60,756,135",Africa
Romania,"3,340,342","+5,211","67,704",29.0,"3,260,130",,"12,508",115,"175,518","3,558","26,676,248","1,401,701","19,031,335",Europe
Denmark,"3,175,129",+51,"8,255",1.0,"3,165,922",+240,952,19,"544,157","1,415","129,194,046","22,141,414","5,834,950",Europe
Hong Kong,"2,883,250",+93,"13,451",,"2,844,603","+2,735","25,196",28,"379,161","1,769","76,127,725","10,011,143","7,604,299",Asia
Sweden,"2,697,827",,"23,633",,"2,670,437",+202,"3,757",9,"264,002","2,313","19,469,139","1,905,196","10,218,971",Europe
Serbia,"2,491,704",+894,"17,821",5.0,"2,460,154",+778,"13,729",16,"287,958","2,060","12,387,136","1,431,540","8,653,016",Europe
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546",Asia
New Zealand,"2,216,852","+1,297","3,904",6.0,"2,205,354","+1,176","7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203",Australia/Oceania
Hungary,"2,194,969",,"48,745",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259",Europe
Bangladesh,"2,037,773",,"29,445",,"1,998,448",,"9,880",,"12,138",175,"15,254,399","90,862","167,885,689",Asia
Slovakia,"1,862,779",+19,"21,017",,"1,840,582",+13,"1,180",20,"341,156","3,849","7,402,309","1,355,686","5,460,193",Europe
Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738",Asia
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
Ireland,"1,702,523",,"8,629",,"1,692,064",+126,"1,830",11,"339,135","1,719","13,024,205","2,594,360","5,020,199",Europe
Pakistan,"1,576,939",+23,"30,643",,"1,538,689",,"7,607",13,"6,872",134,"30,570,862","133,213","229,488,994",Asia
Norway,"1,478,979",+72,"5,112",,"1,473,203",+28,664,20,"268,351",928,"11,002,430","1,996,315","5,511,370",Europe
Finland,"1,462,169",,"8,892",,"1,451,702",+96,"1,575",21,"263,219","1,601","12,047,792","2,168,835","5,554,960",Europe
Kazakhstan,"1,407,823",+472,"13,846",,"1,383,020",,"10,957",24,"73,305",721,"11,575,012","602,707","19,205,043",Asia
Slovenia,"1,327,637",+121,"7,071",,"1,316,886",+124,"3,680",6,"638,891","3,403","2,836,500","1,364,992","2,078,034",Europe
Lithuania,"1,304,132",+64,"9,586",1.0,"1,288,956",+598,"5,590",5,"489,961","3,601","10,376,092","3,898,283","2,661,708",Europe
Bulgaria,"1,296,773",+105,"38,216",5.0,"1,255,613",+103,"2,944",25,"189,459","5,583","11,052,747","1,614,813","6,844,597",Europe
Morocco,"1,272,446",+1,"16,296",,"1,256,083",+6,67,3,"33,687",431,"12,982,046","343,688","37,772,756",Africa
Croatia,"1,268,992",+326,"17,971",21.0,"1,250,549",+374,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286",Europe
Guatemala,"1,235,996",+26,"20,169",1.0,"1,214,657",+45,"1,170",5,"66,508","1,085","6,917,051","372,204","18,584,039",North America
Lebanon,"1,231,840",+127,"10,828",3.0,"1,087,587",,"133,425",74,"184,273","1,620","4,795,578","717,380","6,684,849",Asia
Costa Rica,"1,199,055",,"9,214",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354",North America
Bolivia,"1,192,933",+45,"22,365",,"1,157,318",+207,"13,250",220,"99,472","1,865","2,705,422","225,590","11,992,656",South America
Tunisia,"1,150,793",,"29,330",,,,,44,"95,528","2,435","5,001,397","415,169","12,046,656",Africa
Cuba,"1,112,593",+10,"8,530",,"1,103,971",,92,,"98,410",754,"14,317,196","1,266,375","11,305,652",North America
Ecuador,"1,056,578",,"36,008",,"1,020,570","+4,571",0,759,"58,331","1,988","3,082,403","170,173","18,113,361",South America
UAE,"1,051,930",+68,"2,349",,"1,035,074",+99,"14,507",,"104,340",233,"199,206,191","19,759,020","10,081,785",Asia
Uruguay,"1,034,303",+257,"7,617",,"1,026,186",+191,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America
Panama,"1,031,273",+259,"8,604",1.0,"1,022,299",+413,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964",North America
Mongolia,"1,007,896",,"2,179",,"1,005,709",,8,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia
Nepal,"1,001,143",+3,"12,020",,"989,115",+2,8,,"33,122",398,"6,012,867","198,933","30,225,582",Asia
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
Latvia,"975,977",+9,"6,239",,"969,402",+10,336,13,"527,887","3,375","7,864,358","4,253,678","1,848,837",Europe
Saudi Arabia,"829,388",+101,"9,615",1.0,"816,685",+55,"3,088",29,"23,138",268,"45,140,040","1,259,315","35,844,909",Asia
Azerbaijan,"828,512",,"10,117",,"818,238",,157,,"80,436",982,"7,522,178","730,294","10,300,205",Asia
Paraguay,"808,327",,"19,870",,,,,7,"110,641","2,720","2,657,506","363,751","7,305,843",South America
Bahrain,"707,105",+855,"1,548",,"706,013",,-456,5,"396,363",868,"10,735,877","6,017,926","1,783,983",Asia
Sri Lanka,"672,029",+2,"16,830",,"655,197",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842",Asia
Kuwait,"663,456",,"2,570",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326",Asia
Dominican Republic,"660,533",,"4,384",,"644,785",,"11,364",4,"59,742",397,"3,740,928","338,350","11,056,370",North America
Cyprus,"649,093",,"1,305",,"642,855",,"4,933",60,"530,570","1,067","9,640,118","7,879,860","1,223,387",Asia
Myanmar,"633,914",+3,"19,490",,"614,398",+1,26,,"11,478",353,"10,047,850","181,937","55,227,143",Asia
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia
Estonia,"614,848",,"2,934",,"524,990",,"86,924",1,"465,121","2,220","3,671,717","2,777,585","1,321,910",Europe
Moldova,"603,750",,"11,974",,"504,142",,"87,634",49,"150,442","2,984","3,216,305","801,437","4,013,171",Europe
Venezuela,"551,981",+7,"5,853",,"545,871",+30,257,36,"18,860",200,"3,359,014","114,771","29,266,991",South America
Egypt,"515,698",,"24,613",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692",Africa
Libya,"507,174",+3,"6,437",,"500,734",+1,3,,"72,034",914,"2,483,676","352,758","7,040,745",Africa
Ethiopia,"499,974",+15,"7,572",,"487,236",+15,"5,166",,"4,138",63,"5,487,912","45,425","120,812,698",Africa
Qatar,"494,056",+120,686,,"493,016",+87,354,28,"165,795",230,"4,065,369","1,364,257","2,979,915",Asia
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa
Honduras,"472,116",+559,"11,111",2.0,,,,105,"46,190","1,087","1,633,222","159,787","10,221,247",North America
Armenia,"446,819",,"8,721",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966",Asia
Bosnia and Herzegovina,"401,575",,"16,278",,"379,084",,"6,213",,"123,588","5,010","1,884,721","580,036","3,249,317",Europe
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia
North Macedonia,"346,852",,"9,662",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304",Europe
Zambia,"342,964",+133,"4,057",2.0,"338,645",+356,262,,"17,615",208,"3,931,881","201,943","19,470,234",Africa
Kenya,"342,912",+12,"5,688",,"337,198",+15,26,1,"6,100",101,"3,967,062","70,569","56,215,221",Africa
Albania,"334,380",+2,"3,596",,"329,140",+13,"1,644",,"116,656","1,255","1,941,032","677,173","2,866,374",Europe
Botswana,"329,727",+65,"2,801",,"326,868",,58,1,"135,070","1,147","2,026,898","830,300","2,441,162",Africa
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe
Montenegro,"288,197",+109,"2,804",3.0,"284,604",+141,789,6,"458,949","4,465","2,715,954","4,325,112","627,950",Europe
Brunei,"277,992",,225,,"243,601",,"34,166",,"624,097",505,"717,784","1,611,437","445,431",Asia
Algeria,"271,440",,"6,881",,"182,791",,"81,768",,"5,985",152,"230,861","5,091","45,350,148",Africa
Nigeria,"266,593",+130,"3,155",,"259,850",,"3,588",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa
Zimbabwe,"263,921",,"5,663",,"257,205",,"1,053",12,"17,214",369,"2,525,756","164,744","15,331,428",Africa
Uzbekistan,"250,932",,"1,637",,"241,486",,"7,809",23,"7,298",48,"1,377,915","40,077","34,382,084",Asia
Mozambique,"233,098",,"2,242",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461",Africa
Martinique,"229,807",,"1,098",,,,,12,"614,314","2,935","828,928","2,215,870","374,087",North America
Laos,"218,015",,758,,,,,,"29,142",101,"1,233,207","164,845","7,481,023",Asia
Afghanistan,"209,306",+32,"7,896",,"190,810",+162,"10,600",45,"5,136",194,"1,200,009","29,445","40,754,388",Asia
Iceland,"208,999",,229,,,,,2,"605,105",663,"1,996,384","5,780,036","345,393",Europe
Kyrgyzstan,"206,633",,"2,991",,"196,406",,"7,236",131,"30,711",445,"1,907,195","283,460","6,728,271",Asia
Guadeloupe,"201,852",,"1,010",,,,,19,"504,890","2,526","938,039","2,346,306","399,794",North America
